covariate_set,lag_weeks,reference_date,horizon,target_end_date,observed,median,absolute_error,squared_error
NSSP only,5,2026-01-17,1,2026-01-24,16819,17092.34903201084,273.34903201083944,74719.69330126292
NSSP only,5,2026-01-17,2,2026-01-31,15751,20660.6490720074,4909.6490720074,24104654.010263123
NSSP only,5,2026-01-17,3,2026-02-07,16121,21489.77063270473,5368.770632704731,28823698.106592756
NSSP only,5,2026-01-24,1,2026-01-31,15751,20167.22367350766,4416.2236735076585,19503031.534449477
NSSP only,5,2026-01-24,2,2026-02-07,16121,20918.483143472637,4797.483143472637,23015844.51190409
NSSP only,5,2026-01-24,3,2026-02-14,16436,18766.57323231702,2330.5732323170196,5431571.5911926
NSSP only,5,2026-01-31,1,2026-02-07,16121,13749.971726890693,2371.0282731093066,5621775.071883701
NSSP only,5,2026-01-31,2,2026-02-14,16436,11263.615035953102,5172.384964046898,26753566.21629843
NSSP only,5,2026-01-31,3,2026-02-21,14731,8628.928176731948,6102.071823268052,37235280.536321886
NSSP only,5,2026-02-07,1,2026-02-14,16436,15149.236473566772,1286.7635264332275,1655760.3729588755
NSSP only,5,2026-02-07,2,2026-02-21,14731,12807.496795611896,1923.5032043881038,3699864.5772913033
NSSP only,5,2026-02-07,3,2026-02-28,11159,10640.102419727544,518.8975802724563,269254.6988126102
NSSP only,5,2026-02-14,1,2026-02-21,14731,14949.003493584227,218.00349358422682,47525.52321492802
NSSP only,5,2026-02-14,2,2026-02-28,11159,12989.581322982649,1830.581322982649,3351027.9800529056
