model,reference_date,horizon,n_training_rows,target_end_date,min_training_target,max_training_target,nrounds,eta,max_depth,subsample,colsample_bytree,features
XGBoost + leading indicators,2026-04-25,1,88,2026-05-02,2024-08-24,2026-04-25,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-04-25,2,88,2026-05-09,2024-08-24,2026-04-25,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-04-25,3,88,2026-05-16,2024-08-24,2026-04-25,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-05-02,1,89,2026-05-09,2024-08-24,2026-05-02,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-05-02,2,89,2026-05-16,2024-08-24,2026-05-02,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-05-02,3,89,2026-05-23,2024-08-24,2026-05-02,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-05-09,1,90,2026-05-16,2024-08-24,2026-05-09,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-05-09,2,90,2026-05-23,2024-08-24,2026-05-09,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-05-09,3,90,2026-05-30,2024-08-24,2026-05-09,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-05-16,1,91,2026-05-23,2024-08-24,2026-05-16,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-05-16,2,91,2026-05-30,2024-08-24,2026-05-16,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-05-16,3,91,2026-06-06,2024-08-24,2026-05-16,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
